Date,Open,Close,Dividends,Stock Splits
2023-05-05,256,264,0,0
2023-05-08,272,280,0,0
2023-05-09,296,288,0,0
2023-05-10,272,272,0,0
2023-05-11,272,248,0,0
2023-05-12,256,256,0,0
2023-05-15,248,264,0,0
2023-05-16,272,256,0,0
2023-05-17,248,248,0,0
2023-05-18,256,248,0,0
2023-05-19,256,248,0,0
2023-05-22,248,256,0,0
2023-05-23,256,256,0,0
2023-05-24,256,256,0,0
2023-05-25,256,240,0,0
2023-05-26,240,248,0,0
2023-05-30,248,256,0,0
2023-05-31,256,240,0,0
2023-06-01,240,248,0,0
2023-06-02,256,256,0,0
2023-06-05,256,272,0,0
2023-06-06,272,264,0,0
2023-06-07,264,288,0,0
2023-06-08,288,272,0,0
2023-06-09,288,280,0,0
2023-06-12,272,272,0,0
2023-06-13,264,272,0,0
2023-06-14,272,272,0,0
2023-06-15,272,288,0,0
2023-06-16,296,296,0,0
2023-06-20,296,296,0,0
2023-06-21,304,304,0,0
2023-06-22,304,304,0,0
2023-06-23,304,304,0,0
2023-06-26,312,304,0,0
2023-06-30,320,288,0,0
2023-07-03,296,280,0,0
2023-07-05,296,272,0,0
2023-07-06,336,344,0,0
2023-07-07,336,352,0,0
2023-07-10,352,336,0,0
2023-07-11,336,352,0,0
2023-07-12,336,360,0,0
2023-07-13,368,344,0,0
2023-07-14,344,352,0,0
